Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
java,org.apache.roller.planet.pojos,Template,0,0,2,0,6,2,1,0,-1.0,1,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/Template.java,12
java,org.apache.roller.planet.pojos,SubscriptionEntry,11,0,40,40,209,50,0,0,0.425,6,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/SubscriptionEntry.java,30
java,org.apache.roller.planet.pojos,Subscription,10,0,29,27,134,32,0,0,0.2413793103448276,12,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/Subscription.java,27
java,org.apache.roller.planet.pojos,Planet,5,0,13,13,53,13,0,0,0.3076923076923077,9,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/Planet.java,25
java,org.apache.roller.planet.pojos,StaticTemplate,9,0,21,21,81,21,0,1,0.2857142857142857,0,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/StaticTemplate.java,25
java,org.apache.roller.planet.pojos,Author,2,0,4,4,19,4,0,0,0.5,1,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/Author.java,21
java,org.apache.roller.planet.pojos,Category,1,0,2,2,12,2,0,0,0.0,1,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/Category.java,21
java,org.apache.roller.planet.pojos,PlanetGroup,10,0,24,23,122,29,0,0,0.3333333333333333,10,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/PlanetGroup.java,30
java,org.apache.roller.planet.util.rome,ContentModuleParser,0,0,3,3,18,4,0,0,-1.0,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/ContentModuleParser.java,26
java,org.apache.roller.planet.util.rome,ContentModule,1,0,2,0,5,2,1,0,-1.0,3,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/ContentModule.java,21
java,org.apache.roller.planet.util.rome,ContentModuleGenerator,2,0,4,3,21,5,0,0,0.75,0,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/ContentModuleGenerator.java,27
java,org.apache.roller.planet.util.rome,PlanetRSS091NParser,0,0,3,1,18,4,0,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/PlanetRSS091NParser.java,26
java,org.apache.roller.planet.util.rome,PlanetRSS091UParser,0,0,3,1,18,4,0,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/PlanetRSS091UParser.java,26
java,org.apache.roller.planet.util.rome,PlanetConverterForRSS20,0,0,3,1,20,4,0,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/PlanetConverterForRSS20.java,25
java,org.apache.roller.planet.util.rome,PlanetConverterForRSS091N,0,0,3,1,15,3,0,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/PlanetConverterForRSS091N.java,23
java,org.apache.roller.planet.util.rome,PlanetConverterForRSS091U,0,0,3,1,15,3,0,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/PlanetConverterForRSS091U.java,23
java,org.apache.roller.planet.util.rome,ContentModuleImpl,1,0,5,5,19,5,0,1,0.6,1,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/rome/ContentModuleImpl.java,22
